"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.134712138E0,5.790951252E-1,2.092612386E-1,-1.119679451E0
1.139712138E0,6.028454304E-1,1.233291030E-1,-1.341522217E0
1.144712138E0,5.878710747E-1,5.942767859E-2,-1.565753937E0
1.149712138E0,4.757445157E-1,6.040203571E-2,-1.809669495E0
1.154712138E0,3.553070426E-1,1.183512211E-1,-2.024353981E0
1.159712138E0,2.302187085E-1,2.227740288E-1,-2.221153736E0
1.164712138E0,9.338390827E-2,3.817653656E-1,-2.404806137E0
1.169712138E0,-5.555731058E-2,5.648461580E-1,-2.512361526E0
1.174712138E0,-1.882391572E-1,7.167340517E-1,-2.561499596E0
1.179712138E0,-2.995893955E-1,8.721977472E-1,-2.572473526E0
1.184712138E0,-4.458247423E-1,9.706380367E-1,-2.502992630E0
1.189712138E0,-6.498124599E-1,9.862726927E-1,-2.336245537E0
1.194712138E0,-8.011072874E-1,7.131097317E-1,-2.396294117E0
1.199712138E0,-7.128473520E-1,6.789251566E-1,-2.028087616E0
1.204712138E0,-5.993996859E-1,6.860121489E-1,-1.507062912E0
1.209712138E0,-4.989103079E-1,8.321846724E-1,-6.784248352E-1
1.214712138E0,-4.325513840E-1,9.536089897E-1,1.026096344E-1
1.219712138E0,-3.183428049E-1,1.093208671E0,9.607238770E-1
1.224712138E0,-1.757261753E-1,1.119687438E0,1.619620323E0
1.229712138E0,-5.769014359E-3,1.004277945E0,1.973761559E0
1.234712138E0,1.073386073E-1,7.747156024E-1,2.154248238E0
1.239712138E0,1.607904434E-1,5.065357089E-1,2.391921997E0
1.244712138E0,2.190618515E-1,1.827920079E-1,2.414923668E0
1.249712138E0,2.151291370E-1,-6.801617146E-2,2.506503105E0
1.254712138E0,2.149305940E-1,-2.387752533E-1,2.586114883E0
1.259712138E0,2.620396018E-1,-3.583062291E-1,2.453616142E0
1.264712138E0,1.959912181E-1,-3.895994425E-1,2.334341049E0
1.269712138E0,1.803646684E-1,-3.930500150E-1,2.035086632E0
1.274712138E0,1.652302146E-1,-3.431523442E-1,1.599706650E0
1.279712138E0,1.270293593E-1,-1.966478229E-1,1.406839371E0
1.284712138E0,9.352618456E-2,1.938855648E-2,1.252829552E0
1.289712138E0,1.412516832E-2,2.494212389E-1,1.130333900E0
1.294712138E0,-5.147212744E-2,4.713337421E-1,9.774637222E-1
1.299712138E0,-9.553903341E-2,6.868672371E-1,7.932157516E-1
1.304712138E0,-1.985764503E-1,8.645106554E-1,7.187433243E-1
1.309712138E0,-3.048391938E-1,9.969406128E-1,7.760314941E-1
1.314712138E0,-5.096635818E-1,1.085897088E0,1.034820557E0
1.319712138E0,-7.310599089E-1,1.124523640E0,1.555169106E0
1.324712138E0,-8.611966372E-1,1.054722309E0,2.453520775E0
1.329712138E0,-1.025097132E0,9.020411372E-1,3.010585785E0
1.334712138E0,-1.048082948E0,6.471470594E-1,3.235841751E0
1.339712138E0,-8.418186307E-1,2.559748888E-1,3.450317383E0
1.344712138E0,-6.474545002E-1,-2.791767716E-1,3.679777145E0
1.349712138E0,-4.684937000E-1,-7.998230457E-1,3.914329529E0
1.354712138E0,-1.464178562E-1,-1.127460241E0,4.401895523E0
1.359712138E0,-9.841416031E-2,-1.366822600E0,4.844723701E0
1.364712138E0,-1.272467226E-1,-1.491836429E0,4.925151825E0
1.369712138E0,-1.235847399E-1,-1.538081050E0,4.648052216E0
1.374712138E0,-9.520383924E-2,-1.514308691E0,4.036211014E0
1.379712138E0,6.029944867E-3,-1.408890009E0,3.255170822E0
1.384712138E0,1.698219627E-1,-1.303876638E0,2.292378426E0
1.389712138E0,-2.628108487E-3,-1.088735580E0,1.583989143E0
1.394712138E0,-2.039087750E-2,-8.045293689E-1,7.110509872E-1
1.399712138E0,5.328451470E-2,-4.366204739E-1,-4.928207397E-2
1.404712138E0,1.466110647E-1,-5.020773411E-2,-7.207489014E-1
1.409712138E0,2.487903982E-1,3.417323828E-1,-1.251086235E0
1.414712138E0,3.700444698E-1,6.664718390E-1,-1.701262474E0
