"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.906152516E2,2.551875114E1,2.268750191E0,2.641875076E1
4.906252516E2,2.383125114E1,3.468750238E0,2.613750076E1
4.906352516E2,2.476875114E1,2.287500143E0,2.596875191E1
4.906452516E2,2.416875076E1,3.918750048E0,2.461875153E1
4.906552516E2,2.394375038E1,4.050000191E0,2.643750191E1
4.906652516E2,2.566875076E1,1.968750119E0,2.656875038E1
4.906752516E2,2.340000153E1,3.187500238E0,2.581875038E1
4.906852516E2,2.437500191E1,1.556250095E0,2.490000153E1
4.906952516E2,2.510625076E1,1.837500095E0,2.566875076E1
4.907052516E2,2.422500038E1,2.456250191E0,2.385000038E1
4.907152516E2,2.506875038E1,2.568750143E0,2.596875191E1
4.907252516E2,2.473125076E1,3.600000143E0,2.598750114E1
4.907352516E2,2.505000114E1,2.268750191E0,2.673750114E1
4.907452516E2,2.495625114E1,5.062500238E-1,2.656875038E1
4.907552516E2,2.506875038E1,2.568750143E0,2.596875191E1
4.907652516E2,2.486250114E1,3.450000048E0,2.688750076E1
4.907752516E2,2.570625114E1,1.987500072E0,2.536875153E1
4.907852516E2,2.398125076E1,2.568750143E0,2.673750114E1
4.907952516E2,2.501250076E1,2.850000143E0,2.718750191E1
4.908052516E2,2.428125191E1,2.568750143E0,2.673750114E1
4.908152516E2,2.488125038E1,1.218750000E0,2.838750076E1
4.908252516E2,2.461875153E1,1.987500072E0,2.611875153E1
4.908352516E2,2.413125038E1,1.687500119E0,2.763750076E1
4.908452516E2,2.535000038E1,2.418750048E0,2.658750153E1
4.908552516E2,2.355000114E1,3.337500095E0,2.566875076E1
4.908652516E2,2.473125076E1,2.568750143E0,2.673750114E1
4.908752516E2,2.540625191E1,2.418750048E0,2.506875038E1
4.908852516E2,2.450625038E1,5.212500095E0,2.690625191E1
4.908952516E2,2.512500191E1,1.537500024E0,2.520000076E1
4.909052516E2,2.551875114E1,3.300000191E0,2.521875191E1
4.909152516E2,2.473125076E1,2.568750143E0,2.673750114E1
4.909252516E2,2.461875153E1,3.918750048E0,2.461875153E1
4.909352516E2,2.461875153E1,3.918750048E0,2.461875153E1
4.909452516E2,2.418750191E1,5.062500238E-1,2.686875153E1
4.909552516E2,2.551875114E1,2.868750095E0,2.566875076E1
4.909652516E2,2.416875076E1,3.168750048E0,2.536875153E1
