"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.915393410E-1,8.836730679E-1,-3.539431468E-2,3.825913742E-2,4.651939273E-1,5.582266337E1,-1.552646761E0,5.770703383E0,5.544926319E1
7.965393410E-1,8.837826660E-1,-3.490676358E-2,3.814447671E-2,4.650319517E-1,5.579582793E1,-1.510204835E0,5.732742677E0,5.542959990E1
8.015393410E-1,8.838921529E-1,-3.441113979E-2,3.804048151E-2,4.648692906E-1,5.576900786E1,-1.466364584E0,5.695450050E0,5.540990667E1
8.065393410E-1,8.840013823E-1,-3.391078115E-2,3.795244917E-2,4.647055268E-1,5.574223904E1,-1.421185721E0,5.659541929E0,5.539013644E1
8.115393410E-1,8.841159145E-1,-3.342994675E-2,3.787786141E-2,4.645285308E-1,5.571415794E1,-1.377350655E0,5.626037923E0,5.536861671E1
8.165393410E-1,8.842398618E-1,-3.299294040E-2,3.780571371E-2,4.643296897E-1,5.568375380E1,-1.337975809E0,5.595103181E0,5.534410294E1
8.215393410E-1,8.843686212E-1,-3.261236474E-2,3.775600716E-2,4.641153514E-1,5.565215304E1,-1.303235314E0,5.569451248E0,5.531745231E1
8.265393410E-1,8.845012704E-1,-3.232725337E-2,3.774040937E-2,4.638837278E-1,5.561958037E1,-1.276494527E0,5.552342391E0,5.528834056E1
8.315393410E-1,8.846371035E-1,-3.215014935E-2,3.776406124E-2,4.636350274E-1,5.558620766E1,-1.258760100E0,5.544962297E0,5.525677389E1
8.365393410E-1,8.847721796E-1,-3.209158778E-2,3.781855106E-2,4.633768201E-1,5.555300265E1,-1.251513053E0,5.547020211E0,5.522366872E1
8.415393410E-1,8.848977637E-1,-3.215735406E-2,3.791268542E-2,4.631246924E-1,5.552211463E1,-1.254783647E0,5.559732561E0,5.519106009E1
8.465393410E-1,8.850048675E-1,-3.232708573E-2,3.805819526E-2,4.628962278E-1,5.549575939E1,-1.265770356E0,5.583226974E0,5.516134386E1
8.515393410E-1,8.850944590E-1,-3.255664185E-2,3.822670504E-2,4.626949131E-1,5.547370460E1,-1.281469940E0,5.612272731E0,5.513502092E1
8.565393410E-1,8.851625739E-1,-3.281861916E-2,3.842666000E-2,4.625295103E-1,5.545693133E1,-1.298585486E0,5.646285241E0,5.511335625E1
8.615393410E-1,8.852111096E-1,-3.308062628E-2,3.866066039E-2,4.623984396E-1,5.544497657E1,-1.313685691E0,5.683808732E0,5.509627210E1
8.665393410E-1,8.852394109E-1,-3.329009190E-2,3.892823681E-2,4.623067677E-1,5.543800460E1,-1.321399751E0,5.722015668E0,5.508462061E1
8.715393410E-1,8.852494061E-1,-3.342512250E-2,3.922748938E-2,4.622525871E-1,5.543554213E1,-1.319602917E0,5.759551240E0,5.507823547E1
8.765393410E-1,8.852434337E-1,-3.346556425E-2,3.955817223E-2,4.622329175E-1,5.543701353E1,-1.306266592E0,5.795317791E0,5.507681420E1
8.815393410E-1,8.852249566E-1,-3.339212015E-2,3.990785033E-2,4.622435570E-1,5.544156548E1,-1.280106586E0,5.827018574E0,5.507984699E1
8.865393410E-1,8.851958399E-1,-3.319553286E-2,4.027244821E-2,4.622818530E-1,5.544873788E1,-1.240409145E0,5.853740067E0,5.508701938E1
8.915393410E-1,8.851583519E-1,-3.287171572E-2,4.062629119E-2,4.623458087E-1,5.545797113E1,-1.188134930E0,5.872643995E0,5.509799229E1
