"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.039917890E-1,-5.004509687E-1,-1.406516135E-1,8.872810751E-2
5.060984030E-1,-4.955640435E-1,-1.357647032E-1,9.483675659E-2
5.082050180E-1,-4.894554019E-1,-1.296560466E-1,9.972367436E-2
5.103116320E-1,-4.772381186E-1,-1.259908676E-1,1.033888608E-1
5.124182990E-1,-4.637990892E-1,-1.235474050E-1,1.094975099E-1
5.145248620E-1,-4.466948807E-1,-1.174387559E-1,1.119409725E-1
5.166315280E-1,-4.259254634E-1,-1.186604798E-1,1.168278903E-1
5.187381430E-1,-4.027126133E-1,-1.223256737E-1,1.217148080E-1
5.208447570E-1,-3.746128380E-1,-1.247691289E-1,1.253799945E-1
5.229514240E-1,-3.465130329E-1,-1.259908676E-1,1.278234571E-1
5.250580390E-1,-3.159697950E-1,-1.272125840E-1,1.302669197E-1
5.271646530E-1,-2.805396616E-1,-1.272125840E-1,1.314886510E-1
5.292712680E-1,-2.475529462E-1,-1.320995092E-1,1.290451884E-1
5.313778820E-1,-2.121227980E-1,-1.369864196E-1,1.266017258E-1
5.334844970E-1,-1.779143661E-1,-1.455385387E-1,1.229365394E-1
5.355911640E-1,-1.449276656E-1,-1.504254490E-1,1.156061590E-1
5.376977780E-1,-1.119409725E-1,-1.589775532E-1,1.082757786E-1
5.398043930E-1,-8.017600328E-2,-1.687513888E-1,1.009454057E-1
5.419110070E-1,-5.207622424E-2,-1.748600453E-1,9.239330143E-2
5.440176220E-1,-2.275471389E-2,-1.809686869E-1,8.261945844E-2
5.461242370E-1,2.901607659E-3,-1.870773435E-1,7.162389904E-2
5.482309030E-1,2.489273995E-2,-1.968511790E-1,5.940660089E-2
5.503375180E-1,4.321868345E-2,-2.017380893E-1,4.596757516E-2
5.524441320E-1,5.665770918E-2,-2.078467458E-1,3.497200832E-2
5.545507470E-1,7.131846249E-2,-2.139553875E-1,2.275471389E-2
5.566574140E-1,7.742711157E-2,-2.188423127E-1,1.053741761E-2
5.587639760E-1,8.353576064E-2,-2.212857604E-1,7.635809598E-4
5.608706430E-1,8.597921580E-2,-2.273944169E-1,-1.023198478E-2
5.629772570E-1,8.842267841E-2,-2.249509543E-1,-2.122755162E-2
5.650838720E-1,8.720094711E-2,-2.261726856E-1,-3.100138716E-2
5.671904870E-1,7.864884287E-2,-2.249509543E-1,-3.833176568E-2
5.692971530E-1,7.254019380E-2,-2.261726856E-1,-4.688387364E-2
5.714037680E-1,6.398808211E-2,-2.249509543E-1,-5.421425030E-2
